"Year","Month","Product","State","Requirement (in Million Tonnes)","Availability (in Million Tonnes)"
"2012-13","August","DAP","Mizoram","1000.00","0.00"
"2012-13","August","MAP","Mizoram","0.00","0.00"
"2012-13","August","MOP","Mizoram","1400.00","0.00"
"2012-13","August","NPK","Mizoram","0.00","0.00"
"2012-13","August","TSP","Mizoram","0.00","0.00"
"2012-13","August","UREA","Mizoram","1600.00","0.00"
"2012-13","August","DAP","Nagaland","78.00","0.00"
"2012-13","August","MAP","Nagaland","0.00","0.00"
"2012-13","August","MOP","Nagaland","40.00","0.00"
"2012-13","August","NPK","Nagaland","27.00","0.00"
"2012-13","August","TSP","Nagaland","0.00","0.00"
"2012-13","August","UREA","Nagaland","165.00","0.00"
"2012-13","August","DAP","Odisha","43350.00","16934.65"
"2012-13","August","MAP","Odisha","0.00","0.00"
"2012-13","August","MOP","Odisha","26580.00","10624.80"
"2012-13","August","NPK","Odisha","43335.00","23725.45"
"2012-13","August","TSP","Odisha","0.00","0.00"
"2012-13","August","UREA","Odisha","140440.00","16523.25"
"2012-13","August","DAP","Pondicherry","800.00","0.00"
"2012-13","August","MAP","Pondicherry","0.00","0.00"
"2012-13","August","MOP","Pondicherry","1000.00","0.00"
"2012-13","August","NPK","Pondicherry","1595.00","607.85"
"2012-13","August","TSP","Pondicherry","0.00","0.00"
"2012-13","August","UREA","Pondicherry","1900.00","0.00"
"2012-13","August","DAP","Punjab","100000.00","13188.50"
"2012-13","August","MAP","Punjab","0.00","1221.45"
"2012-13","August","MOP","Punjab","7500.00","3571.90"
"2012-13","August","NPK","Punjab","10000.00","7683.35"
"2012-13","August","TSP","Punjab","0.00","3355.30"
"2012-13","August","UREA","Punjab","100000.00","3301.35"
"2012-13","August","DAP","Rajasthan","55000.00","9481.40"
"2012-13","August","MAP","Rajasthan","0.00","0.00"
"2012-13","August","MOP","Rajasthan","5000.00","1482.00"
"2012-13","August","NPK","Rajasthan","16200.00","3300.15"
"2012-13","August","TSP","Rajasthan","0.00","3526.25"
"2012-13","August","UREA","Rajasthan","180000.00","14624.07"
"2012-13","August","DAP","Sikkim","0.00","0.00"
"2012-13","August","MAP","Sikkim","0.00","0.00"
"2012-13","August","MOP","Sikkim","0.00","0.00"
"2012-13","August","NPK","Sikkim","0.00","0.00"
"2012-13","August","TSP","Sikkim","0.00","0.00"
"2012-13","August","UREA","Sikkim","0.00","0.00"
"2012-13","August","DAP","Tamil Nadu","50000.00","6434.75"
"2012-13","August","MAP","Tamil Nadu","0.00","0.00"
"2012-13","August","MOP","Tamil Nadu","38000.00","14620.95"
"2012-13","August","NPK","Tamil Nadu","60100.00","88957.40"
"2012-13","August","TSP","Tamil Nadu","0.00","0.00"
"2012-13","August","UREA","Tamil Nadu","80000.00","43.90"
"2012-13","August","DAP","Tripura","448.00","0.00"
"2012-13","August","MAP","Tripura","0.00","0.00"
"2012-13","August","MOP","Tripura","0.00","0.00"
"2012-13","August","NPK","Tripura","0.00","0.00"
"2012-13","August","TSP","Tripura","0.00","0.00"
"2012-13","August","UREA","Tripura","3458.00","1581.55"
"2012-13","August","DAP","Uttar Pradesh","250000.00","47815.42"
"2012-13","August","MAP","Uttar Pradesh","0.00","0.00"
"2012-13","August","MOP","Uttar Pradesh","30000.00","24261.00"
"2012-13","August","NPK","Uttar Pradesh","120000.00","83263.15"
"2012-13","August","TSP","Uttar Pradesh","0.00","16125.25"
"2012-13","August","UREA","Uttar Pradesh","600000.00","53103.95"
"2012-13","August","DAP","Uttaranchal","2500.00","1726.90"
"2012-13","August","MAP","Uttaranchal","0.00","0.00"
"2012-13","August","MOP","Uttaranchal","0.00","0.00"
"2012-13","August","NPK","Uttaranchal","0.00","2130.95"
"2012-13","August","TSP","Uttaranchal","0.00","0.00"
"2012-13","August","UREA","Uttaranchal","25000.00","7972.60"
"2012-13","August","DAP","West Bengal","47700.00","16699.94"
"2012-13","August","MAP","West Bengal","0.00","-8.50"
"2012-13","August","MOP","West Bengal","29850.00","32760.95"
"2012-13","August","NPK","West Bengal","83150.00","74121.85"
"2012-13","August","TSP","West Bengal","0.00","7377.55"
"2012-13","August","UREA","West Bengal","109200.00","31097.59"
"2012-13","September","DAP","Andaman & Nicobar","70.00","500.00"
"2012-13","September","MAP","Andaman & Nicobar","0.00","0.00"
"2012-13","September","MOP","Andaman & Nicobar","50.00","0.00"
"2012-13","September","NPK","Andaman & Nicobar","45.00","0.00"
"2012-13","September","TSP","Andaman & Nicobar","0.00","0.00"
"2012-13","September","UREA","Andaman & Nicobar","50.00","0.00"
"2012-13","September","DAP","Andhra Pradesh","100000.00","106511.00"
"2012-13","September","MAP","Andhra Pradesh","0.00","17.85"
"2012-13","September","MOP","Andhra Pradesh","95000.00","36488.31"
"2012-13","September","NPK","Andhra Pradesh","205000.00","117240.58"
"2012-13","September","TSP","Andhra Pradesh","0.00","0.00"
"2012-13","September","UREA","Andhra Pradesh","400000.00","12107.80"
"2012-13","September","DAP","Arunachal Pradesh","10.00","0.00"
"2012-13","September","MAP","Arunachal Pradesh","0.00","0.00"
"2012-13","September","MOP","Arunachal Pradesh","8.00","0.00"
"2012-13","September","NPK","Arunachal Pradesh","0.00","0.00"
"2012-13","September","TSP","Arunachal Pradesh","0.00","0.00"
"2012-13","September","UREA","Arunachal Pradesh","80.00","0.00"
"2012-13","September","DAP","Assam","3250.00","1952.05"
"2012-13","September","MAP","Assam","0.00","0.00"
"2012-13","September","MOP","Assam","7800.00","8224.50"
"2012-13","September","NPK","Assam","975.00","1793.30"
"2012-13","September","TSP","Assam","0.00","0.00"
"2012-13","September","UREA","Assam","18850.00","3569.10"
"2012-13","September","DAP","Bihar","20000.00","45775.50"
"2012-13","September","MAP","Bihar","0.00","71.65"
"2012-13","September","MOP","Bihar","10000.00","7993.30"
"2012-13","September","NPK","Bihar","15000.00","22904.95"
"2012-13","September","TSP","Bihar","0.00","7673.75"
"2012-13","September","UREA","Bihar","210000.00","10839.30"
"2012-13","September","DAP","Chandigarh","0.00","0.00"
"2012-13","September","MAP","Chandigarh","0.00","0.00"
"2012-13","September","MOP","Chandigarh","0.00","0.00"
"2012-13","September","NPK","Chandigarh","0.00","0.00"
"2012-13","September","TSP","Chandigarh","0.00","0.00"
"2012-13","September","UREA","Chandigarh","0.00","0.00"
"2012-13","September","DAP","Chattishgarh","10840.00","19348.45"
"2012-13","September","MAP","Chattishgarh","0.00","0.00"
"2012-13","September","MOP","Chattishgarh","4000.00","3997.45"
"2012-13","September","NPK","Chattishgarh","5000.00","9257.45"
"2012-13","September","TSP","Chattishgarh","0.00","3858.25"
"2012-13","September","UREA","Chattishgarh","50000.00","2072.90"
"2012-13","September","DAP","Dadra & Nagar Haveli","20.00","12.25"
"2012-13","September","MAP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","September","MOP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","September","NPK","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","September","TSP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","September","UREA","Dadra & Nagar Haveli","50.00","18.00"
"2012-13","September","DAP","Daman & Diu","10.00","0.00"
"2012-13","September","MAP","Daman & Diu","0.00","0.00"
"2012-13","September","MOP","Daman & Diu","0.00","0.00"
"2012-13","September","NPK","Daman & Diu","0.00","0.00"
"2012-13","September","TSP","Daman & Diu","0.00","0.00"
"2012-13","September","UREA","Daman & Diu","20.00","0.00"
"2012-13","September","DAP","Delhi","200.00","0.00"
"2012-13","September","MAP","Delhi","0.00","0.00"
"2012-13","September","MOP","Delhi","50.00","0.00"
"2012-13","September","NPK","Delhi","0.00","0.00"
"2012-13","September","TSP","Delhi","0.00","0.00"
"2012-13","September","UREA","Delhi","200.00","0.00"
"2012-13","September","DAP","Goa","100.00","0.00"
"2012-13","September","MAP","Goa","0.00","0.00"
"2012-13","September","MOP","Goa","200.00","0.00"
"2012-13","September","NPK","Goa","580.00","0.00"
"2012-13","September","TSP","Goa","0.00","0.00"
"2012-13","September","UREA","Goa","800.00","127.75"
"2012-13","September","DAP","Gujarat","70000.00","33750.83"
"2012-13","September","MAP","Gujarat","0.00","0.00"
"2012-13","September","MOP","Gujarat","16000.00","1007.55"
"2012-13","September","NPK","Gujarat","27000.00","40202.35"
"2012-13","September","TSP","Gujarat","0.00","6313.85"
"2012-13","September","UREA","Gujarat","220000.00","16396.97"
"2012-13","September","DAP","Harayana","95000.00","10559.80"
"2012-13","September","MAP","Harayana","0.00","0.00"
"2012-13","September","MOP","Harayana","5000.00","7121.80"
"2012-13","September","NPK","Harayana","10000.00","7149.30"
"2012-13","September","TSP","Harayana","0.00","0.00"
"2012-13","September","UREA","Harayana","100000.00","3286.70"
"2012-13","September","DAP","Himachal Pradesh","0.00","0.00"
"2012-13","September","MAP","Himachal Pradesh","0.00","0.00"
"2012-13","September","MOP","Himachal Pradesh","200.00","0.00"
"2012-13","September","NPK","Himachal Pradesh","7500.00","69.50"
"2012-13","September","TSP","Himachal Pradesh","0.00","0.00"
"2012-13","September","UREA","Himachal Pradesh","0.00","128.85"
"2012-13","September","DAP","Jammu & Kashmir","2500.00","3485.95"
"2012-13","September","MAP","Jammu & Kashmir","0.00","0.00"
"2012-13","September","MOP","Jammu & Kashmir","500.00","665.75"
"2012-13","September","NPK","Jammu & Kashmir","0.00","0.00"
"2012-13","September","TSP","Jammu & Kashmir","0.00","0.00"
"2012-13","September","UREA","Jammu & Kashmir","5000.00","1380.95"
"2012-13","September","DAP","Jharkhand","10000.00","8815.60"
"2012-13","September","MAP","Jharkhand","0.00","0.00"
"2012-13","September","MOP","Jharkhand","2500.00","0.00"
"2012-13","September","NPK","Jharkhand","4300.00","3056.30"
"2012-13","September","TSP","Jharkhand","0.00","0.00"
"2012-13","September","UREA","Jharkhand","32000.00","477.00"
"2012-13","September","DAP","Karnataka","80000.00","71641.47"
"2012-13","September","MAP","Karnataka","0.00","20.20"
"2012-13","September","MOP","Karnataka","70000.00","45568.50"
"2012-13","September","NPK","Karnataka","179400.00","80438.95"
"2012-13","September","TSP","Karnataka","0.00","11905.40"
"2012-13","September","UREA","Karnataka","150000.00","4062.45"
"2012-13","September","DAP","Kerala","3000.00","2152.05"
"2012-13","September","MAP","Kerala","0.00","0.00"
"2012-13","September","MOP","Kerala","12000.00","6576.21"
"2012-13","September","NPK","Kerala","16000.00","19170.33"
"2012-13","September","TSP","Kerala","0.00","3260.95"
"2012-13","September","UREA","Kerala","14000.00","387.60"
"2012-13","September","DAP","Lakshadeeep","0.00","0.00"
"2012-13","September","MAP","Lakshadeeep","0.00","0.00"
"2012-13","September","MOP","Lakshadeeep","0.00","0.00"
"2012-13","September","NPK","Lakshadeeep","0.00","0.00"
"2012-13","September","TSP","Lakshadeeep","0.00","0.00"
"2012-13","September","UREA","Lakshadeeep","0.00","0.00"
"2012-13","September","DAP","Madhya Pradesh","169000.00","98048.75"
"2012-13","September","MAP","Madhya Pradesh","0.00","30.55"
"2012-13","September","MOP","Madhya Pradesh","6030.00","20640.00"
"2012-13","September","NPK","Madhya Pradesh","71483.00","20046.30"
"2012-13","September","TSP","Madhya Pradesh","0.00","8443.85"
"2012-13","September","UREA","Madhya Pradesh","179531.00","9035.35"
"2012-13","September","DAP","Maharastra","210000.00","96055.59"
"2012-13","September","MAP","Maharastra","0.00","62.30"
"2012-13","September","MOP","Maharastra","55000.00","53012.85"
"2012-13","September","NPK","Maharastra","151500.00","109606.63"
"2012-13","September","TSP","Maharastra","0.00","16.20"
"2012-13","September","UREA","Maharastra","210000.00","20264.18"
"2012-13","September","DAP","Manipur","600.00","0.00"
"2012-13","September","MAP","Manipur","0.00","0.00"
"2012-13","September","MOP","Manipur","300.00","0.00"
"2012-13","September","NPK","Manipur","0.00","0.00"
"2012-13","September","TSP","Manipur","0.00","0.00"
"2012-13","September","UREA","Manipur","3000.00","0.00"
"2012-13","September","DAP","Megalaya","350.00","0.00"
"2012-13","September","MAP","Megalaya","0.00","0.00"
"2012-13","September","MOP","Megalaya","40.00","0.00"
"2012-13","September","NPK","Megalaya","0.00","0.00"
"2012-13","September","TSP","Megalaya","0.00","0.00"
"2012-13","September","UREA","Megalaya","500.00","1200.00"
"2012-13","September","DAP","Mizoram","950.00","0.00"
"2012-13","September","MAP","Mizoram","0.00","0.00"
"2012-13","September","MOP","Mizoram","700.00","0.00"
"2012-13","September","NPK","Mizoram","0.00","0.00"
"2012-13","September","TSP","Mizoram","0.00","0.00"
"2012-13","September","UREA","Mizoram","1600.00","0.00"
"2012-13","September","DAP","Nagaland","120.00","0.00"
"2012-13","September","MAP","Nagaland","0.00","0.00"
"2012-13","September","MOP","Nagaland","55.00","0.00"
"2012-13","September","NPK","Nagaland","35.00","0.00"
"2012-13","September","TSP","Nagaland","0.00","0.00"
"2012-13","September","UREA","Nagaland","182.00","0.00"
"2012-13","September","DAP","Odisha","25860.00","18360.55"
"2012-13","September","MAP","Odisha","0.00","0.00"
"2012-13","September","MOP","Odisha","20610.00","14734.80"
"2012-13","September","NPK","Odisha","24040.00","23861.95"
"2012-13","September","TSP","Odisha","0.00","0.00"
"2012-13","September","UREA","Odisha","107860.00","14101.60"
"2012-13","September","DAP","Pondicherry","1000.00","0.00"
"2012-13","September","MAP","Pondicherry","0.00","0.00"
"2012-13","September","MOP","Pondicherry","1000.00","240.00"
"2012-13","September","NPK","Pondicherry","3280.00","1999.10"
"2012-13","September","TSP","Pondicherry","0.00","0.00"
"2012-13","September","UREA","Pondicherry","3000.00","0.00"
"2012-13","September","DAP","Punjab","170000.00","13747.10"
"2012-13","September","MAP","Punjab","0.00","39.65"
"2012-13","September","MOP","Punjab","12500.00","7219.95"
"2012-13","September","NPK","Punjab","10000.00","3089.15"
"2012-13","September","TSP","Punjab","0.00","3355.30"
"2012-13","September","UREA","Punjab","100000.00","5196.25"
"2012-13","September","DAP","Rajasthan","123000.00","6549.64"
"2012-13","September","MAP","Rajasthan","0.00","0.00"
"2012-13","September","MOP","Rajasthan","7500.00","4953.85"
"2012-13","September","NPK","Rajasthan","22000.00","830.85"
"2012-13","September","TSP","Rajasthan","0.00","3526.25"
"2012-13","September","UREA","Rajasthan","120000.00","11388.68"
"2012-13","September","DAP","Sikkim","0.00","0.00"
"2012-13","September","MAP","Sikkim","0.00","0.00"
"2012-13","September","MOP","Sikkim","0.00","0.00"
"2012-13","September","NPK","Sikkim","0.00","0.00"
"2012-13","September","TSP","Sikkim","0.00","0.00"
"2012-13","September","UREA","Sikkim","0.00","0.00"
"2012-13","September","DAP","Tamil Nadu","57000.00","6232.40"
"2012-13","September","MAP","Tamil Nadu","0.00","0.00"
"2012-13","September","MOP","Tamil Nadu","46000.00","15275.65"
"2012-13","September","NPK","Tamil Nadu","71300.00","71542.20"
"2012-13","September","TSP","Tamil Nadu","0.00","0.00"
"2012-13","September","UREA","Tamil Nadu","95000.00","1053.55"
"2012-13","September","DAP","Tripura","504.00","0.00"
"2012-13","September","MAP","Tripura","0.00","0.00"
"2012-13","September","MOP","Tripura","0.00","-15.20"
"2012-13","September","NPK","Tripura","0.00","0.00"
"2012-13","September","TSP","Tripura","0.00","0.00"
"2012-13","September","UREA","Tripura","2165.00","1006.75"
"2012-13","September","DAP","Uttar Pradesh","160000.00","113433.30"
"2012-13","September","MAP","Uttar Pradesh","0.00","0.00"
"2012-13","September","MOP","Uttar Pradesh","10000.00","12467.95"
"2012-13","September","NPK","Uttar Pradesh","130000.00","56071.40"
"2012-13","September","TSP","Uttar Pradesh","0.00","16125.25"
"2012-13","September","UREA","Uttar Pradesh","250000.00","34893.15"
"2012-13","September","DAP","Uttaranchal","1000.00","543.45"
"2012-13","September","MAP","Uttaranchal","0.00","0.00"
"2012-13","September","MOP","Uttaranchal","0.00","0.00"
"2012-13","September","NPK","Uttaranchal","0.00","2899.95"
"2012-13","September","TSP","Uttaranchal","0.00","0.00"
"2012-13","September","UREA","Uttaranchal","5000.00","2849.35"
"2012-13","September","DAP","West Bengal","29500.00","43723.30"
"2012-13","September","MAP","West Bengal","0.00","0.00"
"2012-13","September","MOP","West Bengal","23100.00","29020.50"
"2012-13","September","NPK","West Bengal","53200.00","64792.64"
"2012-13","September","TSP","West Bengal","0.00","7377.55"
"2012-13","September","UREA","West Bengal","82000.00","15554.49"
"2012-13","October","DAP","Andaman & Nicobar","0.00","0.00"
"2012-13","October","MAP","Andaman & Nicobar","0.00","0.00"
"2012-13","October","MOP","Andaman & Nicobar","0.00","0.00"
"2012-13","October","NPK","Andaman & Nicobar","0.00","0.00"
"2012-13","October","TSP","Andaman & Nicobar","0.00","0.00"
"2012-13","October","UREA","Andaman & Nicobar","0.00","0.00"
"2012-13","October","DAP","Andhra Pradesh","100000.00","87696.05"
"2012-13","October","MAP","Andhra Pradesh","0.00","17.85"
"2012-13","October","MOP","Andhra Pradesh","75000.00","44384.11"
"2012-13","October","NPK","Andhra Pradesh","150000.00","104307.85"
"2012-13","October","TSP","Andhra Pradesh","0.00","0.00"
"2012-13","October","UREA","Andhra Pradesh","300000.00","13489.49"
"2012-13","October","DAP","Arunachal Pradesh","60.00","0.00"
"2012-13","October","MAP","Arunachal Pradesh","0.00","0.00"
"2012-13","October","MOP","Arunachal Pradesh","30.00","0.00"
"2012-13","October","NPK","Arunachal Pradesh","0.00","0.00"
"2012-13","October","TSP","Arunachal Pradesh","0.00","0.00"
"2012-13","October","UREA","Arunachal Pradesh","50.00","0.00"
"2012-13","October","DAP","Assam","3600.00","3218.60"
"2012-13","October","MAP","Assam","0.00","0.00"
"2012-13","October","MOP","Assam","8100.00","9788.05"
"2012-13","October","NPK","Assam","1800.00","988.45"
"2012-13","October","TSP","Assam","0.00","0.00"
"2012-13","October","UREA","Assam","13000.00","270.85"
"2012-13","October","DAP","Bihar","80000.00","78900.15"
"2012-13","October","MAP","Bihar","0.00","71.65"
"2012-13","October","MOP","Bihar","40000.00","9122.00"
"2012-13","October","NPK","Bihar","40000.00","23988.30"
"2012-13","October","TSP","Bihar","0.00","7673.75"
"2012-13","October","UREA","Bihar","180000.00","11331.35"
"2012-13","October","DAP","Chandigarh","0.00","0.00"
"2012-13","October","MAP","Chandigarh","0.00","0.00"
"2012-13","October","MOP","Chandigarh","0.00","0.00"
"2012-13","October","NPK","Chandigarh","0.00","0.00"
"2012-13","October","TSP","Chandigarh","0.00","0.00"
"2012-13","October","UREA","Chandigarh","0.00","0.00"
"2012-13","October","DAP","Chattishgarh","10000.00","23617.50"
"2012-13","October","MAP","Chattishgarh","0.00","0.00"
"2012-13","October","MOP","Chattishgarh","4000.00","7563.20"
"2012-13","October","NPK","Chattishgarh","5000.00","5461.85"
"2012-13","October","TSP","Chattishgarh","0.00","3858.25"
"2012-13","October","UREA","Chattishgarh","20000.00","5482.70"
"2012-13","October","DAP","Dadra & Nagar Haveli","70.00","11.80"
"2012-13","October","MAP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","October","MOP","Dadra & Nagar Haveli","10.00","0.00"
"2012-13","October","NPK","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","October","TSP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","October","UREA","Dadra & Nagar Haveli","80.00","13.10"
"2012-13","October","DAP","Daman & Diu","30.00","0.00"
"2012-13","October","MAP","Daman & Diu","0.00","0.00"
"2012-13","October","MOP","Daman & Diu","40.00","0.00"
"2012-13","October","NPK","Daman & Diu","70.00","0.00"
"2012-13","October","TSP","Daman & Diu","0.00","0.00"
"2012-13","October","UREA","Daman & Diu","130.00","0.00"
"2012-13","October","DAP","Delhi","1000.00","0.00"
"2012-13","October","MAP","Delhi","0.00","0.00"
"2012-13","October","MOP","Delhi","600.00","0.00"
"2012-13","October","NPK","Delhi","800.00","0.00"
"2012-13","October","TSP","Delhi","0.00","0.00"
"2012-13","October","UREA","Delhi","1300.00","0.00"
"2012-13","October","DAP","Goa","50.00","0.00"
"2012-13","October","MAP","Goa","0.00","0.00"
"2012-13","October","MOP","Goa","50.00","0.00"
"2012-13","October","NPK","Goa","300.00","0.00"
"2012-13","October","TSP","Goa","0.00","0.00"
"2012-13","October","UREA","Goa","300.00","0.00"
"2012-13","October","DAP","Gujarat","110000.00","44183.12"
"2012-13","October","MAP","Gujarat","0.00","0.00"
"2012-13","October","MOP","Gujarat","18000.00","3738.65"
"2012-13","October","NPK","Gujarat","73700.00","46172.00"
"2012-13","October","TSP","Gujarat","0.00","6313.85"
"2012-13","October","UREA","Gujarat","220000.00","14057.74"
"2012-13","October","DAP","Harayana","225000.00","34313.95"
"2012-13","October","MAP","Harayana","0.00","0.00"
"2012-13","October","MOP","Harayana","10000.00","2585.55"
"2012-13","October","NPK","Harayana","15000.00","6191.05"
"2012-13","October","TSP","Harayana","0.00","0.00"
"2012-13","October","UREA","Harayana","250000.00","11628.90"
"2012-13","October","DAP","Himachal Pradesh","0.00","0.00"
"2012-13","October","MAP","Himachal Pradesh","0.00","0.00"
"2012-13","October","MOP","Himachal Pradesh","0.00","0.00"
"2012-13","October","NPK","Himachal Pradesh","7500.00","101.95"
"2012-13","October","TSP","Himachal Pradesh","0.00","0.00"
"2012-13","October","UREA","Himachal Pradesh","5000.00","62.20"
"2012-13","October","DAP","Jammu & Kashmir","7790.00","981.40"
"2012-13","October","MAP","Jammu & Kashmir","0.00","0.00"
"2012-13","October","MOP","Jammu & Kashmir","4380.00","556.20"
"2012-13","October","NPK","Jammu & Kashmir","0.00","0.00"
"2012-13","October","TSP","Jammu & Kashmir","0.00","0.00"
"2012-13","October","UREA","Jammu & Kashmir","13700.00","680.95"
"2012-13","October","DAP","Jharkhand","11500.00","11827.70"
"2012-13","October","MAP","Jharkhand","0.00","0.00"
"2012-13","October","MOP","Jharkhand","2500.00","-0.15"
"2012-13","October","NPK","Jharkhand","20000.00","2348.85"
"2012-13","October","TSP","Jharkhand","0.00","0.00"
"2012-13","October","UREA","Jharkhand","21250.00","1184.05"
"2012-13","October","DAP","Karnataka","60000.00","60561.87"
"2012-13","October","MAP","Karnataka","0.00","20.20"
"2012-13","October","MOP","Karnataka","60000.00","40379.25"
"2012-13","October","NPK","Karnataka","125000.00","74922.32"
"2012-13","October","TSP","Karnataka","0.00","11905.40"
"2012-13","October","UREA","Karnataka","140000.00","8058.20"
"2012-13","October","DAP","Kerala","7000.00","1568.20"
"2012-13","October","MAP","Kerala","0.00","0.00"
"2012-13","October","MOP","Kerala","25000.00","7574.04"
"2012-13","October","NPK","Kerala","40000.00","15283.81"
"2012-13","October","TSP","Kerala","0.00","3260.95"
"2012-13","October","UREA","Kerala","26000.00","693.40"
"2012-13","October","DAP","Lakshadeeep","0.00","0.00"
"2012-13","October","MAP","Lakshadeeep","0.00","0.00"
"2012-13","October","MOP","Lakshadeeep","0.00","0.00"
"2012-13","October","NPK","Lakshadeeep","0.00","0.00"
"2012-13","October","TSP","Lakshadeeep","0.00","0.00"
"2012-13","October","UREA","Lakshadeeep","0.00","0.00"
"2012-13","October","DAP","Madhya Pradesh","223790.00","119655.35"
"2012-13","October","MAP","Madhya Pradesh","0.00","30.55"
"2012-13","October","MOP","Madhya Pradesh","21520.00","14996.35"
"2012-13","October","NPK","Madhya Pradesh","89460.00","26261.10"
"2012-13","October","TSP","Madhya Pradesh","0.00","8443.85"
"2012-13","October","UREA","Madhya Pradesh","240990.00","15920.50"
"2012-13","October","DAP","Maharastra","86000.00","89952.34"
"2012-13","October","MAP","Maharastra","0.00","54.50"
"2012-13","October","MOP","Maharastra","48000.00","85582.50"
"2012-13","October","NPK","Maharastra","205000.00","82062.90"
"2012-13","October","TSP","Maharastra","0.00","0.00"
"2012-13","October","UREA","Maharastra","195000.00","12460.83"
"2012-13","October","DAP","Manipur","1000.00","0.00"
"2012-13","October","MAP","Manipur","0.00","0.00"
"2012-13","October","MOP","Manipur","600.00","0.00"
"2012-13","October","NPK","Manipur","0.00","0.00"
"2012-13","October","TSP","Manipur","0.00","0.00"
"2012-13","October","UREA","Manipur","1550.00","0.00"
"2012-13","October","DAP","Megalaya","300.00","0.00"
"2012-13","October","MAP","Megalaya","0.00","0.00"
"2012-13","October","MOP","Megalaya","30.00","0.00"
"2012-13","October","NPK","Megalaya","0.00","0.00"
"2012-13","October","TSP","Megalaya","0.00","0.00"
"2012-13","October","UREA","Megalaya","200.00","0.00"
"2012-13","October","DAP","Mizoram","80.00","0.00"
"2012-13","October","MAP","Mizoram","0.00","0.00"
"2012-13","October","MOP","Mizoram","120.00","0.00"
"2012-13","October","NPK","Mizoram","0.00","0.00"
"2012-13","October","TSP","Mizoram","0.00","0.00"
"2012-13","October","UREA","Mizoram","290.00","0.00"
"2012-13","October","DAP","Nagaland","140.00","0.00"
"2012-13","October","MAP","Nagaland","0.00","0.00"
"2012-13","October","MOP","Nagaland","100.00","0.00"
"2012-13","October","NPK","Nagaland","40.00","0.00"
"2012-13","October","TSP","Nagaland","0.00","0.00"
"2012-13","October","UREA","Nagaland","200.00","0.00"
"2012-13","October","DAP","Odisha","10000.00","11668.05"
"2012-13","October","MAP","Odisha","0.00","0.00"
"2012-13","October","MOP","Odisha","15000.00","14013.00"
"2012-13","October","NPK","Odisha","8500.00","21948.45"
"2012-13","October","TSP","Odisha","0.00","0.00"
"2012-13","October","UREA","Odisha","40000.00","5998.95"
"2012-13","October","DAP","Pondicherry","500.00","0.00"
"2012-13","October","MAP","Pondicherry","0.00","0.00"
"2012-13","October","MOP","Pondicherry","1000.00","0.00"
"2012-13","October","NPK","Pondicherry","1850.00","929.75"
"2012-13","October","TSP","Pondicherry","0.00","0.00"
"2012-13","October","UREA","Pondicherry","2000.00","0.00"
"2012-13","October","DAP","Punjab","230000.00","29164.35"
"2012-13","October","MAP","Punjab","0.00","0.00"
"2012-13","October","MOP","Punjab","15000.00","9585.65"
"2012-13","October","NPK","Punjab","35000.00","1574.85"
"2012-13","October","TSP","Punjab","0.00","3355.30"
"2012-13","October","UREA","Punjab","300000.00","1315.85"
"2012-13","October","DAP","Rajasthan","112360.00","12070.15"
"2012-13","October","MAP","Rajasthan","0.00","0.00"
"2012-13","October","MOP","Rajasthan","4970.00","4402.56"
"2012-13","October","NPK","Rajasthan","34490.00","1478.85"
"2012-13","October","TSP","Rajasthan","0.00","3526.25"
"2012-13","October","UREA","Rajasthan","177100.00","964.10"
"2012-13","October","DAP","Sikkim","0.00","0.00"
"2012-13","October","MAP","Sikkim","0.00","0.00"
"2012-13","October","MOP","Sikkim","0.00","0.00"
"2012-13","October","NPK","Sikkim","0.00","0.00"
"2012-13","October","TSP","Sikkim","0.00","0.00"
"2012-13","October","UREA","Sikkim","0.00","0.00"
"2012-13","October","DAP","Tamil Nadu","70000.00","12344.15"
"2012-13","October","MAP","Tamil Nadu","0.00","0.00"
"2012-13","October","MOP","Tamil Nadu","84000.00","12932.85"
"2012-13","October","NPK","Tamil Nadu","90760.00","19489.25"
"2012-13","October","TSP","Tamil Nadu","0.00","0.00"
"2012-13","October","UREA","Tamil Nadu","173000.00","1458.60"
"2012-13","October","DAP","Tripura","340.00","0.00"
"2012-13","October","MAP","Tripura","0.00","0.00"
"2012-13","October","MOP","Tripura","2660.00","0.00"
"2012-13","October","NPK","Tripura","0.00","0.00"
"2012-13","October","TSP","Tripura","0.00","0.00"
"2012-13","October","UREA","Tripura","9170.00","10.00"
"2012-13","October","DAP","Uttar Pradesh","400000.00","161745.70"
"2012-13","October","MAP","Uttar Pradesh","0.00","0.00"
"2012-13","October","MOP","Uttar Pradesh","65000.00","6559.15"
"2012-13","October","NPK","Uttar Pradesh","175000.00","41441.20"
"2012-13","October","TSP","Uttar Pradesh","0.00","16125.25"
"2012-13","October","UREA","Uttar Pradesh","500000.00","42903.35"
"2012-13","October","DAP","Uttaranchal","1500.00","3249.30"
"2012-13","October","MAP","Uttaranchal","0.00","0.00"
